key,name,fdc_id,data_type,nutrient,local_value,usda_value,unit,delta_pct,flags
"brown-sugar","Brown Sugar","","","calcium","85","879","mg","934.1176470588235","large_delta"
"brown-sugar","Brown Sugar","","","iron","1.9","0.16","mg","-91.57894736842105","large_delta"
"brown-sugar","Brown Sugar","","","potassium","346","39","mg","-88.72832369942196","large_delta"
"coconut-sugar","Coconut Sugar","","","sodium","125","319","mg","155.20000000000002","large_delta"
"coconut-sugar","Coconut Sugar","","","sugars","90","","","","missing_usda"
"coconut-sugar","Coconut Sugar","","","addedSugars","0","","","","missing_usda"
"coconut-sugar","Coconut Sugar","","","protein","1","2.02","g","102","large_delta"
"coconut-sugar","Coconut Sugar","","","iron","2.1","0.38","mg","-81.90476190476191","large_delta"
"coconut-sugar","Coconut Sugar","","","potassium","625","99","mg","-84.16","large_delta"
"stevia","Stevia Extract","","","sugars","0","","","","missing_usda"
"stevia","Stevia Extract","","","addedSugars","0","","","","missing_usda"
"maple-syrup","Pure Maple Syrup","","","totalFat","0.1","0","g","-100","large_delta"
"maple-syrup","Pure Maple Syrup","","","saturatedFat","0","","","","missing_usda"
"maple-syrup","Pure Maple Syrup","","","transFat","0","","","","missing_usda"
"maple-syrup","Pure Maple Syrup","","","sugars","60","","","","missing_usda"
"maple-syrup","Pure Maple Syrup","","","addedSugars","0","","","","missing_usda"
"maple-syrup","Pure Maple Syrup","","","vitaminD","0","","","","missing_usda"
"honey","Honey","","","transFat","0","","","","missing_usda"
"honey","Honey","","","sugars","82","","","","missing_usda"
"honey","Honey","","","addedSugars","0","","","","missing_usda"
"coconut-palm-sugar","Coconut Palm Sugar","","","calories","375","884","kcal","135.73333333333332","large_delta"
"coconut-palm-sugar","Coconut Palm Sugar","","","transFat","0","","","","missing_usda"
"coconut-palm-sugar","Coconut Palm Sugar","","","sodium","35","0","mg","-100","large_delta"
"coconut-palm-sugar","Coconut Palm Sugar","","","totalCarbs","96","0","g","-100","large_delta|zero_carbs"
"coconut-palm-sugar","Coconut Palm Sugar","","","sugars","92","","","","missing_usda"
"coconut-palm-sugar","Coconut Palm Sugar","","","addedSugars","0","","","","missing_usda"
"coconut-palm-sugar","Coconut Palm Sugar","","","protein","1.1","0","g","-100","large_delta"
"coconut-palm-sugar","Coconut Palm Sugar","","","calcium","6","0","mg","-100","large_delta"
"coconut-palm-sugar","Coconut Palm Sugar","","","iron","1.8","0","mg","-100","large_delta"
"coconut-palm-sugar","Coconut Palm Sugar","","","potassium","1030","0","mg","-100","large_delta"
"vanhouten-dark-chocolate","Van Houten Dark Chocolate 46.5%","","","saturatedFat","18.5","","","","missing_usda"
"vanhouten-dark-chocolate","Van Houten Dark Chocolate 46.5%","","","transFat","0","","","","missing_usda"
"vanhouten-dark-chocolate","Van Houten Dark Chocolate 46.5%","","","sodium","24","6","mg","-75","large_delta"
"vanhouten-dark-chocolate","Van Houten Dark Chocolate 46.5%","","","sugars","48","","","","missing_usda"
"vanhouten-dark-chocolate","Van Houten Dark Chocolate 46.5%","","","addedSugars","45","","","","missing_usda"
"vanhouten-dark-chocolate","Van Houten Dark Chocolate 46.5%","","","vitaminD","0","","","","missing_usda"
"vanhouten-dark-chocolate","Van Houten Dark Chocolate 46.5%","","","iron","11.9","2.13","mg","-82.10084033613445","large_delta"
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)","","","calories","228","398","kcal","74.56140350877193","large_delta"
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)","","","totalFat","14","4","g","-71.42857142857143","large_delta"
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)","","","saturatedFat","8.1","2.377","g","-70.65432098765432","large_delta"
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)","","","transFat","0","","","","missing_usda"
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)","","","sodium","21","504","mg","2300","large_delta"
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)","","","fiber","37","3.7","g","-89.99999999999999","large_delta"
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)","","","sugars","1.8","","","","missing_usda"
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)","","","addedSugars","0","","","","missing_usda"
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)","","","iron","13.9","1.19","mg","-91.43884892086331","large_delta"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","calories","228","431","kcal","89.03508771929825","large_delta"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","sodium","21","384","mg","1728.5714285714284","large_delta"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","fiber","37","2.6","g","-92.97297297297297","large_delta"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","sugars","1.8","","","","missing_usda"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","addedSugars","0","","","","missing_usda"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","protein","20","4.5","g","-77.5","large_delta"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","vitaminD","0","","","","missing_usda"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","calcium","128","13","mg","-89.84375","large_delta"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","iron","13.9","3.36","mg","-75.8273381294964","large_delta"
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa","","","potassium","1524","239","mg","-84.31758530183727","large_delta"
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)","","","saturatedFat","5","0.48","g","-90.39999999999999","large_delta"
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)","","","cholesterol","0","","","","missing_usda"
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)","","","sodium","120","331","mg","175.83333333333334","large_delta"
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)","","","fiber","8","1.5","g","-81.25","large_delta"
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)","","","sugars","55","","","","missing_usda"
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)","","","addedSugars","50","","","","missing_usda"
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)","","","vitaminD","0","","","","missing_usda"
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)","","","iron","7","0.7","mg","-90","large_delta"
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)","","","potassium","900","127","mg","-85.88888888888889","large_delta"
"vanhouten-milk-chocolate","Van Houten Milk Chocolate","","","transFat","0","","","","missing_usda"
"vanhouten-milk-chocolate","Van Houten Milk Chocolate","","","fiber","2","3.4","g","70","large_delta"
"vanhouten-milk-chocolate","Van Houten Milk Chocolate","","","sugars","52","","","","missing_usda"
"vanhouten-milk-chocolate","Van Houten Milk Chocolate","","","addedSugars","50","","","","missing_usda"
"vanhouten-milk-chocolate","Van Houten Milk Chocolate","","","iron","1","2.35","mg","135","large_delta"
"amul-dark-chocolate-55","Amul Dark Chocolate 55% (Commercial)","","","saturatedFat","23","","","","missing_usda"
"amul-dark-chocolate-55","Amul Dark Chocolate 55% (Commercial)","","","transFat","0","","","","missing_usda"
"amul-dark-chocolate-55","Amul Dark Chocolate 55% (Commercial)","","","sugars","45","","","","missing_usda"
"amul-dark-chocolate-55","Amul Dark Chocolate 55% (Commercial)","","","addedSugars","40","","","","missing_usda"
"amul-dark-chocolate-55","Amul Dark Chocolate 55% (Commercial)","","","vitaminD","0","","","","missing_usda"
"amul-dark-chocolate-55","Amul Dark Chocolate 55% (Commercial)","","","iron","8","2.13","mg","-73.375","large_delta"
"amul-dark-chocolate-70","Amul Dark Chocolate 70% (Commercial)","","","sodium","6","20","mg","233.33333333333334","large_delta"
"amul-dark-chocolate-70","Amul Dark Chocolate 70% (Commercial)","","","sugars","24","","","","missing_usda"
"amul-dark-chocolate-70","Amul Dark Chocolate 70% (Commercial)","","","addedSugars","20","","","","missing_usda"
"amul-dark-chocolate-70","Amul Dark Chocolate 70% (Commercial)","","","vitaminD","0","","","","missing_usda"
"amul-dark-chocolate-85","Amul Dark Chocolate 85% (Commercial)","","","sodium","6","20","mg","233.33333333333334","large_delta"
"amul-dark-chocolate-85","Amul Dark Chocolate 85% (Commercial)","","","sugars","14","","","","missing_usda"
"amul-dark-chocolate-85","Amul Dark Chocolate 85% (Commercial)","","","addedSugars","10","","","","missing_usda"
"amul-dark-chocolate-85","Amul Dark Chocolate 85% (Commercial)","","","vitaminD","0","","","","missing_usda"
"amul-dark-chocolate-90","Amul Dark Chocolate 90% (Commercial)","","","cholesterol","2","7","mg","250","large_delta"
"amul-dark-chocolate-90","Amul Dark Chocolate 90% (Commercial)","","","sodium","5","23","mg","360","large_delta"
"amul-dark-chocolate-90","Amul Dark Chocolate 90% (Commercial)","","","totalCarbs","23","59.97","g","160.7391304347826","large_delta"
"amul-dark-chocolate-90","Amul Dark Chocolate 90% (Commercial)","","","sugars","7","","","","missing_usda"
"amul-dark-chocolate-90","Amul Dark Chocolate 90% (Commercial)","","","addedSugars","2","","","","missing_usda"
"dark-chocolate-70","Dark Chocolate 70% Cocoa (Pure)","","","sodium","6","20","mg","233.33333333333334","large_delta"
"dark-chocolate-70","Dark Chocolate 70% Cocoa (Pure)","","","sugars","24","","","","missing_usda"
"dark-chocolate-70","Dark Chocolate 70% Cocoa (Pure)","","","addedSugars","0","","","","missing_usda"
"dark-chocolate-70","Dark Chocolate 70% Cocoa (Pure)","","","vitaminD","0","","","","missing_usda"
"dark-chocolate-70-sweetened","Dark Chocolate 70% (Sweetened)","","","sodium","6","20","mg","233.33333333333334","large_delta"
"dark-chocolate-70-sweetened","Dark Chocolate 70% (Sweetened)","","","sugars","24","","","","missing_usda"
"dark-chocolate-70-sweetened","Dark Chocolate 70% (Sweetened)","","","addedSugars","20","","","","missing_usda"
"dark-chocolate-70-sweetened","Dark Chocolate 70% (Sweetened)","","","vitaminD","0","","","","missing_usda"
"white-chocolate","White Chocolate","","","sugars","59","","","","missing_usda"
"white-chocolate","White Chocolate","","","addedSugars","55","","","","missing_usda"
"baking-powder","Baking Powder","","","calories","53","97","kcal","83.01886792452831","large_delta"
"baking-powder","Baking Powder","","","transFat","0","","","","missing_usda"
"baking-powder","Baking Powder","","","sodium","10600","90","mg","-99.15094339622641","large_delta|sodium_shift"
"baking-powder","Baking Powder","","","fiber","0.2","2.2","g","1000","large_delta"
"baking-powder","Baking Powder","","","sugars","0","","","","missing_usda"
"baking-powder","Baking Powder","","","addedSugars","0","","","","missing_usda"
"baking-powder","Baking Powder","","","iron","0.4","8.17","mg","1942.4999999999998","large_delta"
"baking-powder","Baking Powder","","","potassium","170","10100","mg","5841.176470588235","large_delta"
"cream-cheese","Cream Cheese","","","calories","342","","","","missing_usda"
"cream-cheese","Cream Cheese","","","transFat","1","","","","missing_usda"
"cream-cheese","Cream Cheese","","","fiber","0","","","","missing_usda"
"cream-cheese","Cream Cheese","","","sugars","3.2","","","","missing_usda"
"cream-cheese","Cream Cheese","","","addedSugars","0","","","","missing_usda"
"cream-cheese","Cream Cheese","","","vitaminD","62","","","","missing_usda"
"cream-cheese","Cream Cheese","","","iron","0.4","0","mg","-100","large_delta"
"powdered-sugar","Powdered Sugar (Icing Sugar)","","","sugars","97","","","","missing_usda"
"powdered-sugar","Powdered Sugar (Icing Sugar)","","","addedSugars","97","","","","missing_usda"
"powdered-sugar","Powdered Sugar (Icing Sugar)","","","calcium","1","909","mg","90800","large_delta"
"powdered-sugar","Powdered Sugar (Icing Sugar)","","","potassium","2","1705","mg","85150","large_delta"
"coconut-fresh","Fresh Coconut","","","calories","354","","","","missing_usda"
"coconut-fresh","Fresh Coconut","","","transFat","0","","","","missing_usda"
"coconut-fresh","Fresh Coconut","","","cholesterol","0","","","","missing_usda"
"coconut-fresh","Fresh Coconut","","","sodium","20","46.94","mg","134.7","large_delta"
"coconut-fresh","Fresh Coconut","","","totalCarbs","15","58.9025","g","292.68333333333334","large_delta"
"coconut-fresh","Fresh Coconut","","","fiber","9","34.24","g","280.44444444444446","large_delta"
"coconut-fresh","Fresh Coconut","","","sugars","6.2","","","","missing_usda"
"coconut-fresh","Fresh Coconut","","","addedSugars","0","","","","missing_usda"
"coconut-fresh","Fresh Coconut","","","protein","3.3","16.1385","g","389.04545454545456","large_delta"
"coconut-fresh","Fresh Coconut","","","vitaminD","0","","","","missing_usda"
"coconut-fresh","Fresh Coconut","","","calcium","14","35.98","mg","156.99999999999997","large_delta"
"coconut-fresh","Fresh Coconut","","","iron","2.4","8.018","mg","234.08333333333337","large_delta"
"coconut-fresh","Fresh Coconut","","","potassium","356","2088","mg","486.51685393258424","large_delta"
"coconut-desiccated","Desiccated Coconut","","","transFat","0","","","","missing_usda"
"coconut-desiccated","Desiccated Coconut","","","fiber","16.3","","","","missing_usda"
"coconut-desiccated","Desiccated Coconut","","","sugars","7.4","","","","missing_usda"
"coconut-desiccated","Desiccated Coconut","","","addedSugars","0","","","","missing_usda"
"coconut-oil","Coconut Oil","","","cholesterol","0","","","","missing_usda"
"coconut-oil","Coconut Oil","","","fiber","0","","","","missing_usda"
"coconut-oil","Coconut Oil","","","sugars","0","","","","missing_usda"
"coconut-oil","Coconut Oil","","","addedSugars","0","","","","missing_usda"
"coconut-oil","Coconut Oil","","","vitaminD","0","","","","missing_usda"
"almond-milk","Almond Milk (unsweetened)","","","calories","15","","","","missing_usda"
"almond-milk","Almond Milk (unsweetened)","","","saturatedFat","0.1","","","","missing_usda"
"almond-milk","Almond Milk (unsweetened)","","","transFat","0","","","","missing_usda"
"almond-milk","Almond Milk (unsweetened)","","","cholesterol","0","","","","missing_usda"
"almond-milk","Almond Milk (unsweetened)","","","fiber","0.4","0","g","-100","large_delta"
"almond-milk","Almond Milk (unsweetened)","","","sugars","0.2","","","","missing_usda"
"almond-milk","Almond Milk (unsweetened)","","","addedSugars","0","","","","missing_usda"
"coconut-milk","Coconut Milk","","","calories","230","31","kcal","-86.52173913043478","large_delta|calorie_drop"
"coconut-milk","Coconut Milk","","","totalFat","24","2.08","g","-91.33333333333334","large_delta"
"coconut-milk","Coconut Milk","","","saturatedFat","21","2.083","g","-90.08095238095238","large_delta"
"coconut-milk","Coconut Milk","","","sugars","3.3","","","","missing_usda"
"coconut-milk","Coconut Milk","","","addedSugars","0","","","","missing_usda"
"coconut-milk","Coconut Milk","","","protein","2.3","0.21","g","-90.8695652173913","large_delta"
"coconut-milk","Coconut Milk","","","calcium","18","188","mg","944.4444444444445","large_delta"
"coconut-milk","Coconut Milk","","","iron","1.6","0.3","mg","-81.25","large_delta"
"coconut-milk","Coconut Milk","","","potassium","263","19","mg","-92.77566539923954","large_delta"
"ghee","Ghee (Clarified Butter)","","","transFat","4","0","g","-100","large_delta"
"ghee","Ghee (Clarified Butter)","","","sugars","0","","","","missing_usda"
"ghee","Ghee (Clarified Butter)","","","addedSugars","0","","","","missing_usda"
"ghee","Ghee (Clarified Butter)","","","vitaminD","1.5","","","","missing_usda"
"ghee","Ghee (Clarified Butter)","","","calcium","4","0","mg","-100","large_delta"
"ghee","Ghee (Clarified Butter)","","","potassium","5","","","","missing_usda"
"cinnamon","Cinnamon Powder","","","totalFat","1.2","5.29","g","340.8333333333333","large_delta"
"cinnamon","Cinnamon Powder","","","saturatedFat","0.3","0","g","-100","large_delta"
"cinnamon","Cinnamon Powder","","","sodium","10","388","mg","3779.9999999999995","large_delta"
"cinnamon","Cinnamon Powder","","","fiber","53","3.5","g","-93.39622641509435","large_delta"
"cinnamon","Cinnamon Powder","","","sugars","2.2","","","","missing_usda"
"cinnamon","Cinnamon Powder","","","addedSugars","0","","","","missing_usda"
"cinnamon","Cinnamon Powder","","","protein","4","7.05","g","76.25","large_delta"
"cinnamon","Cinnamon Powder","","","calcium","1002","71","mg","-92.91417165668663","large_delta"
"cinnamon","Cinnamon Powder","","","potassium","431","74","mg","-82.830626450116","large_delta"
"cardamom","Cardamom","","","sugars","0","","","","missing_usda"
"cardamom","Cardamom","","","addedSugars","0","","","","missing_usda"
"vanilla-extract","Vanilla Extract","","","sugars","13","","","","missing_usda"
"vanilla-extract","Vanilla Extract","","","addedSugars","0","","","","missing_usda"
"cocoa-powder","Cocoa Powder (unsweetened)","","","calories","228","398","kcal","74.56140350877193","large_delta"
"cocoa-powder","Cocoa Powder (unsweetened)","","","totalFat","14","4","g","-71.42857142857143","large_delta"
"cocoa-powder","Cocoa Powder (unsweetened)","","","saturatedFat","8.1","2.377","g","-70.65432098765432","large_delta"
"cocoa-powder","Cocoa Powder (unsweetened)","","","transFat","0","","","","missing_usda"
"cocoa-powder","Cocoa Powder (unsweetened)","","","sodium","21","504","mg","2300","large_delta"
"cocoa-powder","Cocoa Powder (unsweetened)","","","fiber","37","3.7","g","-89.99999999999999","large_delta"
"cocoa-powder","Cocoa Powder (unsweetened)","","","sugars","1.8","","","","missing_usda"
"cocoa-powder","Cocoa Powder (unsweetened)","","","addedSugars","0","","","","missing_usda"
"cocoa-powder","Cocoa Powder (unsweetened)","","","iron","14","1.19","mg","-91.5","large_delta"
"dark-chocolate","Dark Chocolate (70-85% Pure)","","","sodium","9","20","mg","122.22222222222223","large_delta"
"dark-chocolate","Dark Chocolate (70-85% Pure)","","","sugars","24","","","","missing_usda"
"dark-chocolate","Dark Chocolate (70-85% Pure)","","","addedSugars","0","","","","missing_usda"
"dark-chocolate","Dark Chocolate (70-85% Pure)","","","vitaminD","0","","","","missing_usda"
"red-chili-powder","Red Chili Powder","","","calories","282","40","kcal","-85.81560283687944","large_delta|calorie_drop"
"red-chili-powder","Red Chili Powder","","","totalFat","14","0.44","g","-96.85714285714286","large_delta"
"red-chili-powder","Red Chili Powder","","","saturatedFat","2.5","0.042","g","-98.32000000000001","large_delta"
"red-chili-powder","Red Chili Powder","","","sodium","91","9","mg","-90.10989010989012","large_delta"
"red-chili-powder","Red Chili Powder","","","totalCarbs","50","8.81","g","-82.38","large_delta"
"red-chili-powder","Red Chili Powder","","","fiber","28","1.5","g","-94.64285714285714","large_delta"
"red-chili-powder","Red Chili Powder","","","sugars","8.8","","","","missing_usda"
"red-chili-powder","Red Chili Powder","","","addedSugars","0","","","","missing_usda"
"red-chili-powder","Red Chili Powder","","","protein","12","1.87","g","-84.41666666666666","large_delta"
"red-chili-powder","Red Chili Powder","","","calcium","330","14","mg","-95.75757575757575","large_delta"
"red-chili-powder","Red Chili Powder","","","iron","25","1.03","mg","-95.88","large_delta"
"red-chili-powder","Red Chili Powder","","","potassium","1950","322","mg","-83.48717948717949","large_delta"
"chili-flakes","Chilli Flakes (Crushed Red Pepper)","","","totalFat","14","0.46","g","-96.71428571428571","large_delta"
"chili-flakes","Chilli Flakes (Crushed Red Pepper)","","","saturatedFat","2.5","0.078","g","-96.88000000000001","large_delta"
"chili-flakes","Chilli Flakes (Crushed Red Pepper)","","","sodium","91","21","mg","-76.92307692307693","large_delta"
"chili-flakes","Chilli Flakes (Crushed Red Pepper)","","","sugars","8.8","","","","missing_usda"
"chili-flakes","Chilli Flakes (Crushed Red Pepper)","","","addedSugars","0","","","","missing_usda"
"chili-flakes","Chilli Flakes (Crushed Red Pepper)","","","iron","25","1.55","mg","-93.8","large_delta"
"oregano-dried","Oregano (Dried)","","","sugars","4.1","","","","missing_usda"
"oregano-dried","Oregano (Dried)","","","addedSugars","0","","","","missing_usda"
"coriander-seeds","Coriander Seeds","","","transFat","0","","","","missing_usda"
"coriander-seeds","Coriander Seeds","","","sugars","0","","","","missing_usda"
"coriander-seeds","Coriander Seeds","","","addedSugars","0","","","","missing_usda"
"cumin-seeds","Cumin Seeds","","","transFat","0","","","","missing_usda"
"cumin-seeds","Cumin Seeds","","","sugars","2.2","","","","missing_usda"
"cumin-seeds","Cumin Seeds","","","addedSugars","0","","","","missing_usda"
"turmeric","Turmeric Powder","","","sugars","3.2","","","","missing_usda"
"turmeric","Turmeric Powder","","","addedSugars","0","","","","missing_usda"
"fenugreek-seeds","Fenugreek Seeds","","","sugars","0","","","","missing_usda"
"fenugreek-seeds","Fenugreek Seeds","","","addedSugars","0","","","","missing_usda"
"chickpeas","Chickpeas (cooked)","","","sodium","7","243","mg","3371.4285714285716","large_delta"
"chickpeas","Chickpeas (cooked)","","","sugars","4.8","","","","missing_usda"
"chickpeas","Chickpeas (cooked)","","","addedSugars","0","","","","missing_usda"
"black-gram-urad","Black Gram (Urad Dal)","","","calories","341","","","","missing_usda"
"black-gram-urad","Black Gram (Urad Dal)","","","totalFat","1.6","6.274","g","292.12499999999994","large_delta"
"black-gram-urad","Black Gram (Urad Dal)","","","saturatedFat","0.4","","","","missing_usda"
"black-gram-urad","Black Gram (Urad Dal)","","","transFat","0","","","","missing_usda"
"black-gram-urad","Black Gram (Urad Dal)","","","cholesterol","0","","","","missing_usda"
"black-gram-urad","Black Gram (Urad Dal)","","","sodium","38","8.779","mg","-76.89736842105263","large_delta"
"black-gram-urad","Black Gram (Urad Dal)","","","fiber","18","","","","missing_usda"
"black-gram-urad","Black Gram (Urad Dal)","","","sugars","2","","","","missing_usda"
"black-gram-urad","Black Gram (Urad Dal)","","","addedSugars","0","","","","missing_usda"
"black-gram-urad","Black Gram (Urad Dal)","","","vitaminD","0","","","","missing_usda"
"black-gram-urad","Black Gram (Urad Dal)","","","potassium","","1074","mg","","missing_local"
"green-gram-moong","Green Gram (Moong Dal)","","","calories","347","","","","missing_usda"
"green-gram-moong","Green Gram (Moong Dal)","","","totalFat","1.2","6.274","g","422.83333333333337","large_delta"
"green-gram-moong","Green Gram (Moong Dal)","","","saturatedFat","0.3","","","","missing_usda"
"green-gram-moong","Green Gram (Moong Dal)","","","transFat","0","","","","missing_usda"
"green-gram-moong","Green Gram (Moong Dal)","","","cholesterol","0","","","","missing_usda"
"green-gram-moong","Green Gram (Moong Dal)","","","fiber","16","","","","missing_usda"
"green-gram-moong","Green Gram (Moong Dal)","","","sugars","6.6","","","","missing_usda"
"green-gram-moong","Green Gram (Moong Dal)","","","addedSugars","0","","","","missing_usda"
"green-gram-moong","Green Gram (Moong Dal)","","","vitaminD","0","","","","missing_usda"
"avocado","Avocado","","","calories","160","","","","missing_usda"
"avocado","Avocado","","","saturatedFat","2.1","","","","missing_usda"
"avocado","Avocado","","","transFat","0","","","","missing_usda"
"avocado","Avocado","","","cholesterol","0","","","","missing_usda"
"avocado","Avocado","","","sodium","7","0","mg","-100","large_delta"
"avocado","Avocado","","","fiber","7","","","","missing_usda"
"avocado","Avocado","","","sugars","0.7","","","","missing_usda"
"avocado","Avocado","","","addedSugars","0","","","","missing_usda"
"avocado","Avocado","","","vitaminD","0","","","","missing_usda"
"strawberries","Strawberries","","","calories","32","","","","missing_usda"
"strawberries","Strawberries","","","saturatedFat","0","","","","missing_usda"
"strawberries","Strawberries","","","transFat","0","","","","missing_usda"
"strawberries","Strawberries","","","cholesterol","0","","","","missing_usda"
"strawberries","Strawberries","","","sodium","1","0","mg","-100","large_delta"
